Date,Turtle_ID,Treatment,Pulse_Treatment,Analysis_1,Analysis_2,Avg_Time
4/5/2022,L223,Pulse,Antiparallel,16.02,12.02,14.02
4/5/2022,L229,Pulse,Antiparallel,6.76,6.13,6.45
4/5/2022,L222,Pulse,Antiparallel,6.75,6.83,6.79
4/5/2022,L219,Pulse,Antiparallel,20.01,8.25,14.13
4/4/22,L220,Pulse,Antiparallel,6.97,7.57,7.27
4/4/22,L226,Pulse,Antiparallel,18.00,20.26,19.13
4/4/22,L228,Pulse,Antiparallel,5.75,4.76,5.25
4/4/22,L231,Pulse,Antiparallel,1.77,1.51,1.64
3/28/22,L227,Rewarded,Rewarded,33.19,36.06,34.63
3/28/22,L217,Rewarded,Rewarded,32.90,25.90,29.40
3/28/22,L224,Rewarded,Rewarded,11.03,17.29,14.16
3/28/22,L225,Rewarded,Rewarded,44.23,53.85,49.04
3/29/22,L232,Rewarded,Rewarded,10.37,14.50,12.44
3/29/22,L218,Rewarded,Rewarded,8.99,13.45,11.22
3/29/22,L221,Rewarded,Rewarded,12.23,19.09,15.66
3/29/22,L230,Rewarded,Rewarded,19.81,19.97,19.89
3/30/22,L223,Rewarded,Rewarded,19.52,18.71,19.11
3/30/22,L229,Rewarded,Rewarded,10.28,13.67,11.97
3/30/22,L222,Rewarded,Rewarded,26.76,18.26,22.51
3/30/22,L219,Rewarded,Rewarded,25.50,18.63,22.07
3/31/22,L220,Rewarded,Rewarded,38.40,45.22,41.81
3/31/22,L226,Rewarded,Rewarded,18.34,28.40,23.37
3/31/22,L228,Rewarded,Rewarded,14.75,12.13,13.44
3/31/22,L231,Rewarded,Rewarded,4.90,4.57,4.74
4/15/22,L227,Post Pulse,Post Pulse,7.49,6.27,6.88
4/15/22,L223,Post Pulse,Post Pulse,12.04,9.25,10.64
4/15/22,L217,Post Pulse,Post Pulse,20.56,18.99,19.77
4/15/22,L229,Post Pulse,Post Pulse,2.01,4.51,3.26
4/15/22,L224,Post Pulse,Post Pulse,12.43,11.65,12.04
4/15/22,L222,Post Pulse,Post Pulse,4.97,7.56,6.26
4/15/22,L225,Post Pulse,Post Pulse,37.80,34.15,35.98
4/15/22,L219,Post Pulse,Post Pulse,10.03,12.72,11.38
4/14/22,L232,Post Pulse,Post Pulse,10.99,16.40,13.69
4/14/22,L220,Post Pulse,Post Pulse,9.25,6.52,7.89
4/14/22,L218,Post Pulse,Post Pulse,7.01,2.00,4.50
4/14/22,L226,Post Pulse,Post Pulse,22.79,18.26,20.52
4/14/22,L221,Post Pulse,Post Pulse,7.97,6.74,7.36
4/14/22,L228,Post Pulse,Post Pulse,30.76,29.60,30.18
4/14/22,L230,Post Pulse,Post Pulse,8.96,11.00,9.98
4/14/22,L231,Post Pulse,Post Pulse,8.03,7.27,7.65
4/5/2022,L227,Pulse,Parallel,2.83,2.23,2.53
4/5/2022,L217,Pulse,Parallel,19.47,25.52,22.50
4/5/2022,L224,Pulse,Parallel,7.67,5.56,6.61
4/5/2022,L225,Pulse,Parallel,63.47,82.22,72.85
4/4/22,L232,Pulse,Parallel,12.52,12.00,12.26
4/4/22,L218,Pulse,Parallel,7.51,6.98,7.24
4/4/22,L221,Pulse,Parallel,7.51,8.20,7.85
4/4/22,L230,Pulse,Parallel,9.02,8.26,8.64
3/28/22,L223,Sham Pulse,Sham Pulse,17.98,24.88,21.43
3/28/22,L229,Sham Pulse,Sham Pulse,9.75,7.52,8.64
3/28/22,L222,Sham Pulse,Sham Pulse,25.42,36.51,30.97
3/28/22,L219,Sham Pulse,Sham Pulse,19.74,29.23,24.48
3/29/22,L220,Sham Pulse,Sham Pulse,20.77,33.74,27.26
3/29/22,L226,Sham Pulse,Sham Pulse,22.38,22.18,22.28
3/29/22,L228,Sham Pulse,Sham Pulse,40.79,42.92,41.85
3/29/22,L231,Sham Pulse,Sham Pulse,18.49,16.18,17.34
3/30/22,L227,Sham Pulse,Sham Pulse,16.00,23.48,19.74
3/30/22,L217,Sham Pulse,Sham Pulse,27.27,34.17,30.72
3/30/22,L224,Sham Pulse,Sham Pulse,2.74,3.99,3.37
3/30/22,L225,Sham Pulse,Sham Pulse,24.53,40.72,32.63
3/31/22,L232,Sham Pulse,Sham Pulse,17.90,15.04,16.47
3/31/22,L218,Sham Pulse,Sham Pulse,12.97,27.73,20.35
3/31/22,L221,Sham Pulse,Sham Pulse,13.26,13.97,13.61
3/31/22,L230,Sham Pulse,Sham Pulse,8.73,9.60,9.17
